,id,name,artists,genres,popularity,added_at,danceability,energy,instrumentalness,tempo,valence
114,1rfbQdf8AYt7qZOIzaP5PP,Cloud5,['PLACID'],[],49,2022-12-09 15:29:46+00:00,0.698,0.124,0.801,110.005,0.0984
115,2tIF7PmitHZi13Mc2dssPO,Rectifier,['12dust'],[],49,2022-12-09 15:29:46+00:00,0.122,0.0995,0.812,70.354,0.0699
116,5l3iFPNLr9pWXeYOI7dDhs,Snowfields,['Shape Of Our Dreams'],[],51,2022-12-09 15:29:46+00:00,0.266,0.226,0.811,112.913,0.149
117,1oRYeH614gcXBYZMjjvnOz,cold start,['RRST'],[],50,2022-12-09 15:29:46+00:00,0.615,0.212,0.883,124.867,0.0765
118,7h8FoVdFGKGNbZvbY51d5h,Loosen Up,['Cake House'],[],51,2022-12-09 15:29:46+00:00,0.269,0.0344,0.891,70.025,0.107
119,1hPEjphQtd9xBOLL4v1VYn,For a Moment,['Amaranth Cove'],['background music'],51,2022-12-09 15:29:46+00:00,0.551,0.214,0.913,140.033,0.0471
120,748B3pk3bq8jYTd7FSJYZ9,Lupina's Dream,['Lama House'],['background music'],49,2022-12-09 15:29:46+00:00,0.271,0.134,0.897,129.814,0.0693
121,0b53tPTqZR1kOv7RoG04kh,Portico,['Gae Terragni'],[],49,2022-12-09 15:29:46+00:00,0.278,0.128,0.957,119.969,0.0387
122,3mMd2MGvEIDAfMfvcb9wsC,Feels Like Flying,['Elementaries'],['chill beats'],49,2022-12-09 15:29:46+00:00,0.416,0.11,0.873,120.024,0.347
123,6WIbkXGyOIdCEbt1aQXN1r,Mind Of Lust,['Sandomina'],[],49,2022-12-09 15:29:46+00:00,0.311,0.153,0.933,87.04,0.0339
124,02NddgoemFd0ImJLtl2SAy,Beginnings,['Bon Bruit'],[],49,2022-12-09 15:29:46+00:00,0.208,0.16,0.85,86.039,0.0391
125,6lDhQE5NehNR4pizUh8B8p,Further Than Far,['Shape Of Our Dreams'],[],50,2022-12-09 15:29:46+00:00,0.498,0.064,0.846,63.497,0.0985
126,4AAXA43eClFFWQlEeQzC00,Dreamer,['Ygor Ghensev'],[],49,2022-12-09 15:29:46+00:00,0.16,0.183,0.862,63.78,0.0524
127,1N5zR5J3f3jQFKMY3cG0YO,Awakening,['Starlight Passage'],[],51,2022-12-09 15:29:46+00:00,0.259,0.0523,0.896,113.937,0.0997
128,2sAg6ll1Vd1BxR8YD0lkRg,Eleven Shades,['Lunaire'],['calming instrumental'],49,2022-12-09 15:29:46+00:00,0.408,0.135,0.902,81.975,0.0379
129,24CJS73HBvYtVguUZBnyAn,Open Fields,['Faelt'],[],49,2022-12-09 15:29:46+00:00,0.491,0.197,0.916,132.106,0.216
130,2ENH05Q7PkilEF6WujXNjG,Time Travel,['AMBIE'],[],49,2022-12-09 15:29:46+00:00,0.502,0.289,0.913,137.926,0.156
131,5I9kd3U6qhnuO3WWX5Le8l,In the Beginning of Time,['Of Water'],[],49,2022-12-09 15:29:46+00:00,0.294,0.121,0.932,112.986,0.0393
132,1RsZcsLDGwVpkhgeoL75gE,Change Of Tides,['Stories Seldom Told'],[],49,2022-12-09 15:29:46+00:00,0.507,0.0663,0.923,114.869,0.129
133,4nZSgFwgYUOyWcBX61JY6j,Laugavegur,['Dreyma'],['focus'],49,2022-12-09 15:29:46+00:00,0.515,0.408,0.769,115.002,0.308
134,0Zl6KnmirT1PeGZvAZY9T1,Den inre skogen,['Thomas Jackson'],[],49,2022-12-09 15:29:46+00:00,0.532,0.382,0.61,127.038,0.0455
135,2yf1ibNuXk2VwKyGCIIpmA,Silver Lining,['Erik Reno'],['ambient guitar'],49,2022-12-09 15:29:46+00:00,0.471,0.138,0.878,135.934,0.0493
136,5NKK0t7lYlyDsT5auDYKmq,The Discovery,['Sulfur Springs'],[],49,2022-12-09 15:29:46+00:00,0.414,0.127,0.822,130.021,0.0354
137,3j2VxSCmFJcrNZ6QR7e8DR,Wild Flowers,['MVS'],[],48,2022-12-09 15:29:46+00:00,0.25,0.108,0.91,73.59,0.118
138,4iKSrwTBu0vLSqmZUXSGXr,Takeoff,['Silo Silo'],[],49,2022-12-09 15:29:46+00:00,0.44,0.32,0.886,180.036,0.0694
139,4A6C6K8c8IukPda2f0rI8J,Suhpratti,['Parazal'],[],49,2022-12-09 15:29:46+00:00,0.564,0.0515,0.765,93.961,0.214
140,0pgh65p0D9uDSdOrmsaTgu,Projections,['Jacob Yoffee'],[],49,2022-12-09 15:29:46+00:00,0.329,0.0735,0.815,112.206,0.0378
141,5lZyYNi8OfFWKiX1p9zDQP,Curious Morning,['Michael Orvind'],[],48,2022-12-09 15:29:46+00:00,0.391,0.231,0.954,107.981,0.0882
142,7CVgHbVQmNtUVXKZOgonJK,mellow,['cloudcrush'],[],48,2022-12-09 15:29:46+00:00,0.609,0.157,0.792,111.966,0.0698
143,6phzRtzX5AMmgRVhB02Xas,Forever Distant,['The Echelon Effect'],"['ambient post-rock', 'compositional ambient', 'focus', 'instrumental post-rock', 'post-rock']",49,2022-12-09 15:29:46+00:00,0.408,0.136,0.906,107.105,0.108
144,2q8C32OjwpC9NGIa7ER2yK,Dream Circuit,['Focal Point'],[],48,2022-12-09 15:29:46+00:00,0.496,0.239,0.846,102.054,0.0933
145,157kvk58Qr04AiuDv2aQWd,Drifting,['Eroded Sky'],['background music'],48,2022-12-09 15:29:46+00:00,0.616,0.202,0.678,139.857,0.0773
146,7Ln0DgKSrDG0ALbtNwGeml,Momentum,['Monocle Twins'],['background music'],49,2022-12-09 15:29:46+00:00,0.636,0.248,0.922,117.006,0.138
147,3TNNGjgOQ7O8vwAlvlD9Fg,Adrift,['Cooper Sams'],"['background music', 'focus']",49,2022-12-09 15:29:46+00:00,0.382,0.333,0.918,84.974,0.0486
148,21gBsNMebPvrZ6jAD0FLBN,Bull’s Eye,['Tom Kalani'],['chill out'],48,2022-12-09 15:29:46+00:00,0.555,0.338,0.879,107.031,0.106
149,5QGNwI8U3o9mQg7RR3yOPj,Limitless,['Lucas Delphy'],[],49,2022-12-09 15:29:46+00:00,0.238,0.191,0.888,140.282,0.0365
150,12LkyDfAbUQ2MIJJpFAe93,marshmallows,['cloudcrush'],[],48,2022-12-09 15:29:46+00:00,0.33,0.142,0.938,168.784,0.122
151,3l7mCSypI6tYJvYe8dDI4f,Focus,['IFEELU'],['background music'],48,2022-12-09 15:29:46+00:00,0.669,0.155,0.8,111.898,0.0611
152,2No1A7ZuMaBGxz45jmA9Gw,Glaciers,['Lights & Motion'],"['atmospheric post-rock', 'cinematic post-rock', 'compositional ambient', 'focus', 'nordic post-rock', 'post-rock']",50,2022-12-09 15:29:46+00:00,0.0789,0.16,0.786,56.449,0.0409
153,0b6iQfSLnYGz5VCzwndLz9,Sintra,['Made Of Gold'],[],48,2022-12-09 15:29:46+00:00,0.395,0.147,0.909,164.176,0.167
